Status,Data,Código do Item,CNPJ,Razão Social,Descrição do Item,Unidade de Fornecimento,Quantidade,Valor Unitário,Valor Total do Item
Encerrado,13 de out. de 2020,7827000600056202000015,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CLONIDINA CLORIDRATO,COMPRIMIDO,180,0.45,81
Encerrado,13 de out. de 2020,7827000600056202000023,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CARVEDILOL,COMPRIMIDO,300,0.25,75
Encerrado,13 de out. de 2020,7827000600056202000021,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",DIMETICONA,COMPRIMIDO,420,0.16,67.2
Encerrado,13 de out. de 2020,7827000600056202000025,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",NISTATINA,BISNAGA,10,6.25,62.5
Encerrado,13 de out. de 2020,7827000600056202000010,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",PROXIMETACAÍNA CLORIDRATO,FRASCO,6,9.9,59.4
Encerrado,13 de out. de 2020,7827000600056202000028,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",ISOSSORBIDA,COMPRIMIDO,240,0.2,48
Encerrado,13 de out. de 2020,7827000600056202000014,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",ATROPINA SULFATO,AMPOLA,50,0.9,45
Encerrado,13 de out. de 2020,7827000600056202000006,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CETOCONAZOL,BISNAGA,10,4.5,45
Encerrado,13 de out. de 2020,7827000600056202000019,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",VITAMINAS DO COMPLEXO B,COMPRIMIDO,270,0.15,40.5
Encerrado,13 de out. de 2020,7827000600056202000016,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CLORETO DE POTÁSSIO,FRASCO,15,2.56,38.4
Encerrado,13 de out. de 2020,7827000600056202000026,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",NISTATINA,FRASCO,10,3.5,35
Encerrado,13 de out. de 2020,7827000600056202000011,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",ÓXIDO DE ZINCO,BISNAGA,10,3.5,35
Encerrado,13 de out. de 2020,7827000600056202000024,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CARVEDILOL,COMPRIMIDO,120,0.25,30
Encerrado,13 de out. de 2020,7827000600056202000022,96827563000127,"MEDISIL COMERCIAL FARMACEUTICA , HOSPITALAR, DE HIGIENE E TRANSPORTES LTDA",CARVEDILOL,COMPRIMIDO,90,0.25,22.5
Encerrado,9 de out. de 2020,7838000619902202000001,2625717000154,ACRILART LTDA,PLACA ACRÍLICA,UNIDADE,1,850,850
Outros,7 de out. de 2020,7955000600274202000001,61797924000236,HEWLETT-PACKARD BRASIL LTDA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO DE COMPUTADORES E SEUS PERIFÉRICOS,UNIDADE,1,12083.97,12083.97
Encerrado,7 de out. de 2020,7955000600276202000001,1521815000189,ATAMI NETWORK INFORMATICA EIRELI,DISCO RÍGIDO REMOVÍVEL,UNIDADE,2,498,996
Outros,7 de out. de 2020,7955000600277202000003,43887033000108,LABORGLAS IND E COM DE MATERIAIS PARA LABORATORIO LTDA,MICROPIPETA,UNIDADE,1,676,676
Outros,7 de out. de 2020,7955000600277202000004,43887033000108,LABORGLAS IND E COM DE MATERIAIS PARA LABORATORIO LTDA,MICROPIPETA,UNIDADE,1,622.5,622.5
Outros,7 de out. de 2020,7955000600277202000005,43887033000108,LABORGLAS IND E COM DE MATERIAIS PARA LABORATORIO LTDA,MICROPIPETA,UNIDADE,1,622.5,622.5
Outros,7 de out. de 2020,7955000600277202000001,43887033000108,LABORGLAS IND E COM DE MATERIAIS PARA LABORATORIO LTDA,MICROPIPETA,UNIDADE,1,622.5,622.5
Encerrado,7 de out. de 2020,7955000600275202000001,13004212000199,FACILITA SERVICOS E COMERCIO DE PRODUTOS INDUSTRIAIS E AUTOMOTIVOS LTDA,SERVIÇO DE REVISÃO AUTOMOTIVA,UNIDADE,6,60,360
Outros,7 de out. de 2020,7955000600277202000002,43887033000108,LABORGLAS IND E COM DE MATERIAIS PARA LABORATORIO LTDA,MICROPIPETA,UNIDADE,1,321,321
Encerrado,7 de out. de 2020,7955000600275202000005,13004212000199,FACILITA SERVICOS E COMERCIO DE PRODUTOS INDUSTRIAIS E AUTOMOTIVOS LTDA,SERVIÇO DE REVISÃO AUTOMOTIVA,UNIDADE,2,60,120
Encerrado,7 de out. de 2020,7955000600275202000004,13004212000199,FACILITA SERVICOS E COMERCIO DE PRODUTOS INDUSTRIAIS E AUTOMOTIVOS LTDA,SERVIÇO DE REVISÃO AUTOMOTIVA,UNIDADE,1,90,90
Encerrado,7 de out. de 2020,7955000600275202000002,13004212000199,FACILITA SERVICOS E COMERCIO DE PRODUTOS INDUSTRIAIS E AUTOMOTIVOS LTDA,SERVIÇO DE REVISÃO AUTOMOTIVA,UNIDADE,1,60,60
Encerrado,7 de out. de 2020,7955000600275202000003,13004212000199,FACILITA SERVICOS E COMERCIO DE PRODUTOS INDUSTRIAIS E AUTOMOTIVOS LTDA,SERVIÇO DE REVISÃO AUTOMOTIVA,UNIDADE,1,60,60
Outros,5 de out. de 2020,7951800600043202000005,10512195000102,JP PHARMA IMPORTACAO E DISTRIBUICAO LTDA,DESINFETANTE,UNIDADE,48,416.66,20000
Outros,5 de out. de 2020,7951800600043202000002,11757970000152,OGL SUPRIMENTOS LTDA,BALDE COM ESPREMEDOR,UNIDADE,28,317.95,8902.6
Outros,5 de out. de 2020,7951800600043202000001,17526067000167,VIPE COMERCIAL EIRELI,DISPENSER PAPEL TOALHA,UNIDADE,300,21.4,6420
Outros,5 de out. de 2020,7951800600043202000003,11757970000152,OGL SUPRIMENTOS LTDA,DESINFETANTE,LITRO,150,40.58,6088.2
Outros,5 de out. de 2020,7951800600043202000004,37338005000139,H W COMERCIO E EMPREENDIMENTOS LTDA,AVENTAL HOSPITALAR,UNIDADE,80,60,4800
Outros,5 de out. de 2020,7951800600045202000001,57283327000135,TARUMA AGROPECUARIA COMERCIAL EIRELI,ATOMIZADOR COSTAL,UNIDADE,1,3279.5,3279.5
Encerrado,30 de set. de 2020,7893100600041202000001,33857105000110,GOMES SOUZA SERVICOS DE ENGENHARIA EIRELI,MANUTENÇÃO DE MATERIAL HOSPITALAR,UNIDADE,1,54078,54078
Encerrado,30 de set. de 2020,7910100600248202000002,2314108000184,ENZIPHARMA PRODUTOS MEDICOS E LABORATORIAIS LTDA,REAGENTE PARA DIAGNÓSTICO CLÍNICO 7,TESTE,320,99.99,31996.8
Encerrado,30 de set. de 2020,7910100600248202000001,2314108000184,ENZIPHARMA PRODUTOS MEDICOS E LABORATORIAIS LTDA,REAGENTE PARA DIAGNÓSTICO CLÍNICO 7,TESTE,120,150,18000
Encerrado,30 de set. de 2020,7893100600040202000001,32860818000170,"APT COMERCIO, CONSULTORIA E LOGISTICA EIRELI",MANUTENÇÃO DE MATERIAL HOSPITALAR,UNIDADE,1,9050,9050
Encerrado,30 de set. de 2020,7893100600043202000001,8235359000150,RENATO GONCALVES LADICO EIRELI,"SERVIÇO DE CONFECÇÃO DE CAPAS , COBERTURAS",UNIDADE,1,6490,6490
Encerrado,30 de set. de 2020,7893100600042202000001,8235359000150,RENATO GONCALVES LADICO EIRELI,"SERVIÇO DE CONFECÇÃO DE CAPAS , COBERTURAS",UNIDADE,1,6430,6430
Encerrado,30 de set. de 2020,7827000600052202000002,2068375000119,MEDICICOR COMERCIAL EIRELI,TUBO ENDOTRAQUEAL,UNIDADE,7,108,756
Encerrado,30 de set. de 2020,7827000600052202000001,2068375000119,MEDICICOR COMERCIAL EIRELI,TUBO ENDOTRAQUEAL,UNIDADE,5,120,600
Encerrado,30 de set. de 2020,7827000600052202000003,2068375000119,MEDICICOR COMERCIAL EIRELI,TUBO ENDOTRAQUEAL,UNIDADE,6,44,264
Encerrado,28 de set. de 2020,7915000600173202000002,32561144000103,BISTURI DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA,CILINDRO PNEUMÁTICO,UNIDADE,2,749.9,1499.8
Encerrado,28 de set. de 2020,7838000611920202000001,2625717000154,ACRILART LTDA,CARPETE,UNIDADE,1,850,850
Encerrado,28 de set. de 2020,7915000600173202000004,32561144000103,BISTURI DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA,VÁLVULA,UNIDADE,2,299,598
Encerrado,28 de set. de 2020,7915000600173202000001,32561144000103,BISTURI DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA,SACO DE EQUIPAMENTO PESSOAL,UNIDADE,2,140,280
Encerrado,28 de set. de 2020,7915000600173202000005,32561144000103,BISTURI DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA,VÁLVULA,UNIDADE,2,69,138
Encerrado,28 de set. de 2020,7915000600173202000003,32561144000103,BISTURI DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA,UMIDIFICADOR E PURIFICADOR AMBIENTE,UNIDADE,2,38,76
Encerrado,22 de set. de 2020,7910100600240202000001,331788000623,AIR LIQUIDE BRASIL LTDA,VENTILADOR ARTIFICIAL ELETRÔNICO,UNIDADE,8,65000,520000
Encerrado,22 de set. de 2020,7650000600084202000001,58426628000133,SAMTRONIC INDUSTRIA E COMERCIO LTDA,BOMBA DE INFUSÃO,UNIDADE,80,5500,440000
Outros,22 de set. de 2020,7657200600055202000001,6370174000203,TIMPEL S.A.,TOMÓGRAFO,UNIDADE,1,259290.7,259290.7
Encerrado,22 de set. de 2020,7650000600081202000001,79805263000128,KSS COMERCIO E INDUSTRIA DE EQUIPAMENTOS MEDICO LTDA,CAMA HOSPITALAR,UNIDADE,30,7200,216000
Encerrado,22 de set. de 2020,7650000600086202000001,28997632000190,ARJO BRASIL EQUIPAMENTOS MEDICOS LTDA.,MACA CLÍNICA,UNIDADE,4,23495,93980
Outros,22 de set. de 2020,7657200600054202000001,29372000140,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARE,APARELHO ULTRASSONOGRAFIA,UNIDADE,1,74000,74000
Encerrado,22 de set. de 2020,7650000600085202000001,79805263000128,KSS COMERCIO E INDUSTRIA DE EQUIPAMENTOS MEDICO LTDA,ASPIRADOR CIRÚRGICO,UNIDADE,10,6800,68000
Encerrado,22 de set. de 2020,7650000600083202000001,95433397000111,COMERCIO DE MATERIAIS MEDICOS HOSPITALARES MACROSUL LTDA,OXÍMETRO DIGITAL,UNIDADE,20,1790,35800
Outros,22 de set. de 2020,7951800600042202000001,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALA",VENTILADOR ARTIFICIAL ELETRÔNICO,UNIDADE,1,28900,28900
Encerrado,22 de set. de 2020,7650000600081202000002,79805263000128,KSS COMERCIO E INDUSTRIA DE EQUIPAMENTOS MEDICO LTDA,MACA CLÍNICA,UNIDADE,5,5500,27500
Outros,22 de set. de 2020,7951800600041202000001,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALA",REAGENTE PARA DIAGNÓSTICO CLÍNICO 7,TESTE,550,43.5,23925
Encerrado,22 de set. de 2020,7650000600087202000001,26185580000122,VAD MEDICAL COMERCIO LTDA,MEDIDOR,UNIDADE,8,1940,15520
Encerrado,22 de set. de 2020,7650000600082202000001,26185580000122,VAD MEDICAL COMERCIO LTDA,MEDIDOR,UNIDADE,2,1940,3880
Encerrado,22 de set. de 2020,7858100603076202000001,3247249000194,TATIANA FISS GARCEZ & CIA.LTDA.,MANGUEIRA COMBATE INCÊNDIO,UNIDADE,8,315,2520
Outros,22 de set. de 2020,7951800600042202000002,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALA",OXÍMETRO,UNIDADE,5,175.5,877.5
Outros,22 de set. de 2020,7951800600041202000002,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALA",TUBO PARA COLETA DE AMOSTRA BIOLÓGICA,UNIDADE,700,0.6,424.76
Outros,22 de set. de 2020,7951800600041202000004,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALA",AGULHA COLETA SANGUE À VÁCUO,UNIDADE,400,0.31,124
Outros,22 de set. de 2020,7951800600041202000003,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALA",AGULHA COLETA SANGUE À VÁCUO,UNIDADE,300,0.31,93
Outros,22 de set. de 2020,7951800600041202000006,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALA",GARROTE,UNIDADE,10,7.9,79
Outros,22 de set. de 2020,7951800600041202000005,30722690000153,"GEV COMERCIO, SERVICOS, DISTRIBUICAO, MANUTENCAO E LOCACAO DE MATERIAL HOSPITALA",ESTANTE TUBO ENSAIO,UNIDADE,4,10.2,40.8
Encerrado,17 de set. de 2020,7710000600045202000001,7205182000186,CRITICARE COMERCIO DE PRODUTOS CIRURGICOS LTDA,REAGENTE PARA DIAGNÓSTICO CLÍNICO 7,UNIDADE,5000,24,120000
Encerrado,17 de set. de 2020,7120000600003202000001,1298443000254,MAGNAMED TECNOLOGIA MEDICA S/A,RESPIRADOR,UNIDADE,1,44141,44141
Encerrado,17 de set. de 2020,7915000600174202000002,74199126000173,YAMAZERY COMERCIO E SERVICOS LTDA,TESOURA MECÂNICA,UNIDADE,60,290,17400
Encerrado,17 de set. de 2020,7915000600174202000001,74199126000173,YAMAZERY COMERCIO E SERVICOS LTDA,AGULHA EQUIPAMENTO FONOGRÁFICO,UNIDADE,10,190,1900
Encerrado,17 de set. de 2020,7883400600156202000001,3698900000142,SERVQUIMA PRODUTOS DE LIMPEZA E HIGIENE LTDA,CARRO COLETOR LIXO,UNIDADE,1,1480,1480
Encerrado,17 de set. de 2020,7883400600159202000001,3698900000142,SERVQUIMA PRODUTOS DE LIMPEZA E HIGIENE LTDA,CARRO COLETOR LIXO,UNIDADE,4,370,1480
Encerrado,17 de set. de 2020,7915000600165202000002,32561144000103,BISTURI DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA,LUVA PARA PROCEDIMENTO NÃO CIRÚRGICO,CAIXA,15,32,480
Encerrado,17 de set. de 2020,7915000600165202000001,32561144000103,BISTURI DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA,MÁSCARA DESCARTÁVEL USO GERAL,CAIXA,6,69.9,419.4
Encerrado,17 de set. de 2020,7883400600156202000002,3698900000142,SERVQUIMA PRODUTOS DE LIMPEZA E HIGIENE LTDA,SACO PLÁSTICO LIXO,PACOTE,1,35.7,35.7
Encerrado,17 de set. de 2020,7883400600159202000002,3698900000142,SERVQUIMA PRODUTOS DE LIMPEZA E HIGIENE LTDA,SACO PLÁSTICO LIXO,PACOTE,1,35.7,35.7
Encerrado,17 de set. de 2020,7883400600156202000003,3698900000142,SERVQUIMA PRODUTOS DE LIMPEZA E HIGIENE LTDA,SACO PLÁSTICO LIXO,PACOTE,1,19.9,19.9
