Contrato,Nota de Empenho,CNPJ,Razão Social,Data da Assinatura,Início da Vigência,Término da Vigência,Objeto,Aditivos,Valor Total do Contrato
00026/2020,2020NE800706,4048294000182,COMACO MATERIAIS DE CONSTRUCAO LTDA,18 de ago. de 2020,18 de ago. de 2020,13 de fev. de 2021,AQUISIÇÃO EMERGENCIAL DE MATERIAIS ELÉTRICOS VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.,0,"R$ 4.115,00"
00033/2020,2020NE800735,6185371000171,PAU BRASIL MADEIREIRA E MATERIAIS DE CONSTRUCAO EIRELI,18 de ago. de 2020,18 de ago. de 2020,13 de fev. de 2021,AQUISIÇÃO EMERGÊNCIAL DE FERRAMENTAL PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.,0,"R$ 13.782,00"
00003/2020,2020NE800326,1458201000108,MHE COMERCIO DE EQUIPAMENTOS DE TELECOMUNICACOES LTDA,12 de ago. de 2020,12 de ago. de 2020,12 de nov. de 2020,AQUISIÇÃO DE RECARGA PARA CHIPS DE CELULARES(OPERAÇÃO COVID-19).,0,"R$ 1.500,00"
2020-03-01,2020NE800326,1458201000108,MHE COMERCIO DE EQUIPAMENTOS DE TELECOMUNICACOES LTDA,12 de ago. de 2020,12 de ago. de 2020,12 de nov. de 2020,AQUISIÇÃO DE RECARGA PARA CHIPS DE CELULARES(OPERAÇÃO COVID-19).,0,"R$ 1.500,00"
30/2020,2020NE800709,1268775000105,CASTELAO COM MAT DE CONSTRUCAO E SERVICOS LTDA,4 de ago. de 2020,4 de ago. de 2020,31 de jan. de 2021,"DISPENSA DE LICITAÇÃO PARA AQUISIÇÃO EMERGENCIAL PARA O COMBATE A COVID 19, DE MATÉRIAS DE CONSTRUÇÃO, MATÉRIAS ELÉTRICOS E FERRAMENTAS PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL.",0,"R$ 139.423,76"
00030/2020,2020NE800709,1268775000105,CASTELAO COM MAT DE CONSTRUCAO E SERVICOS LTDA,4 de ago. de 2020,4 de ago. de 2020,31 de jan. de 2021,"DISPENSA DE LICITAÇÃO PARA AQUISIÇÃO EMERGENCIAL PARA O COMBATE A COVID 19, DE MATÉRIAS DE CONSTRUÇÃO, MATÉRIAS ELÉTRICOS E FERRAMENTAS PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL.",0,"R$ 139.423,77"
00042/2020,2020NE800705,84012418000109,CASA DO ELETRICISTA COMERCIO E CONSTRUCAO LTDA,3 de ago. de 2020,3 de ago. de 2020,30 de jan. de 2021,"AQUISIÇÃO EMERGÊNCIAL DE POSTES DE CONCRETOS, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS RESPONSÁVEL PELO SURTO DE 2020.",0,"R$ 97.300,00"
27/2020,2020NE800707,29628340000143,PERIN 4V MATERIAIS DE CONSTRUCAO LTDA,3 de ago. de 2020,3 de ago. de 2020,30 de jan. de 2021,"AQUISIÇÃO EMERGÊNCIAL DE MATERIAIS DE CONSTRUÇÃO, MATERIAIS ELÉTRICOS, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020. PROCESSO ADM 64044.003282/2020-25.",0,"R$ 96.487,00"
42/2020,2020NE800705,84012418000109,CASA DO ELETRICISTA COMERCIO E CONSTRUCAO LTDA,3 de ago. de 2020,3 de ago. de 2020,30 de jan. de 2021,"AQUISIÇÃO EMERGÊNCIAL DE POSTES DE CONCRETOS, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVIRUS RESPONSÁVEL PELO SURTO DE 2020.",0,"R$ 97.300,00"
00027/2020,2020NE800707,29628340000143,PERIN 4V MATERIAIS DE CONSTRUCAO LTDA,3 de ago. de 2020,3 de ago. de 2020,30 de jan. de 2021,"AQUISIÇÃO EMERGÊNCIAL DE MATERIAIS DE CONSTRUÇÃO, MATERIAIS ELÉTRICOS, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020. PROCESSO ADM 64044.003282/2020-25.",0,"R$ 96.487,00"
2020-03-01,2020NE801337,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,27 de jul. de 2020,27 de jul. de 2020,27 de jan. de 2021,"CONTRATAÇÃO DE SERVIÇOS DE LOCAÇÃO DE ESTRUTURAS E EQUIPAMENTOS DE APOIO LOGÍSTICO – OVERLAYS, PARA ATENDER À NECESSIDADE DA FORÇA TERRESTRE LOGÍSTICA HUMANITÁRIA NAS AÇÕES DE COMBATE AO COVID-19, DE ACORDO COM A LEI 13.979/20.",0,"R$ 23.975.316,00"
00040/2020,2020NE801272,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,20 de jul. de 2020,20 de jul. de 2020,16 de jan. de 2021,"CONTRATAÇÃO EMERGENCIAL DE SERVIÇO DE CAPTAÇÃO E DRENAGEM DE ÁGUAS PLUVIAIS, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO NO COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORANAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.",12,"R$ 323.793,56"
00039/2020,2020NE800651,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,20 de jul. de 2020,20 de jul. de 2020,16 de jan. de 2021,"CONTRATAÇÃO EMERGENCIAL DE SERVIÇO DE LOCAÇÃO DE REDE LÓGICA, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO NO COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORANAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.",0,"R$ 123.037,18"
39/2020,2020NE800651,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,20 de jul. de 2020,20 de jul. de 2020,16 de jan. de 2021,"CONTRATAÇÃO EMERGENCIAL DE SERVIÇO DE LOCAÇÃO DE REDE LÓGICA, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO NO COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORANAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.",0,"R$ 123.037,18"
00015/2020,2020NE800304,3341826000102,P. J. CONSTRUCOES LTDA,16 de jul. de 2020,20 de jul. de 2020,19 de out. de 2020,"CONTRATAÇÃO DE EMPRESA PARA A EXECUÇÃO DE SERVIÇOS DE ADEQUAÇÃO DO PAVILHÃO SUPERIOR DA BASE ADMINISTRATIVA, PARA ENFRENTAMENTO DO COVID-19.",0,"R$ 42.493,62"
15/2020,2020NE800304,3341826000102,P. J. CONSTRUCOES LTDA,16 de jul. de 2020,20 de jul. de 2020,19 de out. de 2020,"CONTRATAÇÃO DE EMPRESA PARA A EXECUÇÃO DE SERVIÇOS DE ADEQUAÇÃO DO PAVILHÃO SUPERIOR DA BASE ADMINISTRATIVA, PARA ENFRENTAMENTO DO COVID-19.",0,"R$ 42.493,62"
41/2020,2020NE800648,15815491000104,INDUSTRIA DE TRANSFORMADORES AMAZONAS LTDA,15 de jul. de 2020,15 de jul. de 2020,11 de jan. de 2021,"DISPENSA DE LICITAÇÃO DE TRANSFORMADORES ELÉTRICOS 225 KVA E 150 KVA, VISANDO O COMBATE CONTRA A COVID-19. ",0,"R$ 42.030,00"
00041/2020,2020NE800648,15815491000104,INDUSTRIA DE TRANSFORMADORES AMAZONAS LTDA,15 de jul. de 2020,15 de jul. de 2020,11 de jan. de 2021,"DISPENSA DE LICITAÇÃO DE TRANSFORMADORES ELÉTRICOS 225 KVA E 150 KVA, VISANDO O COMBATE CONTRA A COVID-19. ",0,"R$ 42.030,00"
38/2020,2020NE800628,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,14 de jul. de 2020,14 de jul. de 2020,10 de jan. de 2021,"AQUISIÇÃO DE PLACAS DE SINALIZAÇÃO PARA AMBIENTE INTERNO DE ACORDO COM AS ESPECIFICAÇÕES DESCRITAS NESTE PROJETO BÁSICO, PARA CONTRATAÇÃO EMERGENCIAL COVID-19.",0,"R$ 24.357,70"
00038/2020,2020NE800628,8800285000157,AGORA PRODUCAO DE EVENTOS LTDA,14 de jul. de 2020,14 de jul. de 2020,10 de jan. de 2021,"AQUISIÇÃO DE PLACAS DE SINALIZAÇÃO PARA AMBIENTE INTERNO DE ACORDO COM AS ESPECIFICAÇÕES DESCRITAS NESTE PROJETO BÁSICO, PARA CONTRATAÇÃO EMERGENCIAL COVID-19.",0,"R$ 24.357,70"
00031/2020,2020NE800638,19665514000194,SANIP SANEAMENTO INDUSTRIA E PROJETO EIRELI,10 de jul. de 2020,10 de jul. de 2020,7 de jan. de 2021,AQUISIÇÃO EMERGENCIAL DE ESTAÇÃO DE TRATAMENTO DE ESGOTO VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRU~ÇÃO NO COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORANAVÍRUS RESPONSÁVEL PELO SURTO DE 2020. PROCESSO ADMINISTRATIVO 64044.004076/2020-32-6ºBEC.,0,"R$ 387.780,00"
31/2020,2020NE800638,19665514000194,SANIP SANEAMENTO INDUSTRIA E PROJETO EIRELI,10 de jul. de 2020,10 de jul. de 2020,7 de jan. de 2021,AQUISIÇÃO EMERGENCIAL DE ESTAÇÃO DE TRATAMENTO DE ESGOTO VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRU~ÇÃO NO COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORANAVÍRUS RESPONSÁVEL PELO SURTO DE 2020. PROCESSO ADMINISTRATIVO 64044.004076/2020-32-6ºBEC.,0,"R$ 387.780,00"
00049/2020,2020NE802109,22644042000106,CONTAD- ASSESSORIA E GESTAO HOSPITALAR LTDA,7 de jul. de 2020,7 de jul. de 2020,6 de jan. de 2021,"CONTRATAÇÃO DE SERVIÇO DE APOIO ADMINISTRATIVO, COM FORNECIMENTO DE EQUIPE TÉCNICA ADMINISTRATIVA, PARA ATENDER AS NECESSIDADES DA ÁREA DE PROTEÇÃO E CUIDADOS.",9,"R$ 990.000,00"
00028/2020,2020NE800562,15815491000104,INDUSTRIA DE TRANSFORMADORES AMAZONAS LTDA,6 de jul. de 2020,6 de jul. de 2020,2 de jan. de 2021,"TRANSFORMADOR TRIFÁSICO DE DISTRIBUIÇÃO DE ENERGIA, POTÊNCIA DE 300KVA, TENSÃO NOMINAL DE 15KV, TENSÃO SECUNDÁRIA DE 220/127V,EM ÓLEO ISOLANTE.",0,"R$ 41.900,00"
28/2020,2020NE800562,15815491000104,INDUSTRIA DE TRANSFORMADORES AMAZONAS LTDA,6 de jul. de 2020,6 de jul. de 2020,2 de jan. de 2021,"TRANSFORMADOR TRIFÁSICO DE DISTRIBUIÇÃO DE ENERGIA, POTÊNCIA DE 300KVA, TENSÃO NOMINAL DE 15KV, TENSÃO SECUNDÁRIA DE 220/127V,EM ÓLEO ISOLANTE.",0,"R$ 41.900,00"
00032/2020,2020NE800701,6185371000171,PAU BRASIL MADEIREIRA E MATERIAIS DE CONSTRUCAO EIRELI,1 de jul. de 2020,1 de jul. de 2020,28 de dez. de 2020,"AQUISIÇÃO EMERGÊNCIAL DE MATERIAL DE CONSTRUÇÃO, EPI E FERRAMENTAS PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020",0,"R$ 9.436,08"
32/2020,2020NE800701,6185371000171,PAU BRASIL MADEIREIRA E MATERIAIS DE CONSTRUCAO EIRELI,1 de jul. de 2020,1 de jul. de 2020,28 de dez. de 2020,"AQUISIÇÃO EMERGÊNCIAL DE MATERIAL DE CONSTRUÇÃO, EPI E FERRAMENTAS PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO EM COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS RESPONSÁVEL PELO SURTO DE 2020",0,"R$ 9.436,08"
30/2020,2020NE800880,24321712000170,C C F MELO,30 de jun. de 2020,30 de jun. de 2020,29 de jul. de 2020,"SERVIÇO DE CONTRATAÇÃO DE CAMAREIRA HOSPITALAR PARA MANTER AS UNIDADES HABITACIONAIS DEVIDAMENTE HIGIENIZADAS E ORGANIZADAS NO ÂMBITO DA ÁREA DE PROTEÇÃO E CUIDADOS. ",1,"R$ 115.500,00"
2020-09-01,2020NE800514,11036346000166,A C DUARTE DE CASTRO,16 de jun. de 2020,16 de jun. de 2020,13 de dez. de 2020,AQUISIÇÃO DE:  - NO-BREAK SENOIDAL 10000VA BIV.120/220V COM BANCO DE BATERIAS AUXILIAR E AUTONOMIA DE 30MIN;  - NO-BREAK SENOIDAL 3000VA BIV.120/220V COM BANCO DE BATERIAS AUXILIAR E AUTONOMIA DE 30MIN;,0,"R$ 158.100,00"
00009/2020,2020NE800514,11036346000166,A C DUARTE DE CASTRO,16 de jun. de 2020,16 de jun. de 2020,13 de dez. de 2020,AQUISIÇÃO DE:  - NO-BREAK SENOIDAL 10000VA BIV.120/220V COM BANCO DE BATERIAS AUXILIAR E AUTONOMIA DE 30MIN;  - NO-BREAK SENOIDAL 3000VA BIV.120/220V COM BANCO DE BATERIAS AUXILIAR E AUTONOMIA DE 30MIN;,0,"R$ 158.100,00"
28/2020,2020NE800752,24321712000170,C C F MELO,9 de jun. de 2020,9 de jun. de 2020,8 de jul. de 2020,SERVIÇO DE FORNECIMENTO DE PESSOAL PARA DISTRIBUIÇÃO DE ALIMENTAÇÃO (COPA),1,"R$ 154.840,00"
2020-02-01,2020NE800364,10235718000110,G9 MULTISERVICE SISTEMAS DE LIMPEZA LTDA,5 de jun. de 2020,5 de jun. de 2020,4 de set. de 2020,"PREST SERV DE LIMP E CONS, FORN DE MAT, REGIME DE TRAB 40HS SEMANAIS, SEG A SEXTA, NA FORMA DE EXEC INDIRETA, NO REGIME DE EMPREITADA P/ATENDER AS NEC DO QG CMDO MIL SUL (QG/CMS) E ANEXOS: QG AUXILIAR-1 E QG AUXILIAR-2 (SEÇÃO DE INATIVOS E PENSIONISTAS SSIP/3), SEÇÃO DE FISC PROD CONTROLADOS (SFPC), E O REFEITORIO DA B ADM AP/3ªRM. A SEDE DO QG/CMS SITO RUA DOS ANDRADAS, 562, POA/RS CFE CONDIÇÕES, QUANT E EXIG ESTABELECIDAS NESTE INSTRUMENTO. ",1,"R$ 265.200,00"
00053/2020,2020NE800327,25079949000150,VORTICE ENERGIA TERMICA LTDA,4 de jun. de 2020,4 de jun. de 2020,4 de dez. de 2020,"AQUISIÇÃO DE MATERIAL PERMANENTE, APARELHO DE AR CONDICIONADO SELF-CONTAINED, QUE SERÃO EMPREGADAS EM BARRACAS DE POSTO DE ATENDIMENTO AVANÇADO DO NÚCLEO DO 9º BATALHÃO DE SAÚDE, TUDO VISANDO AO ENFRENTAMENTO DO COVID-19",0,"R$ 125.850,00"
53/2020,2020NE800327,25079949000150,VORTICE ENERGIA TERMICA LTDA,4 de jun. de 2020,4 de jun. de 2020,4 de dez. de 2020,"AQUISIÇÃO DE MATERIAL PERMANENTE, APARELHO DE AR CONDICIONADO SELF-CONTAINED, QUE SERÃO EMPREGADAS EM BARRACAS DE POSTO DE ATENDIMENTO AVANÇADO DO NÚCLEO DO 9º BATALHÃO DE SAÚDE, TUDO VISANDO AO ENFRENTAMENTO DO COVID-19",0,"R$ 125.850,00"
16/2020,2020NE802103,19288408000139,FABIANA AGUIAR DA COSTA DA SILVA,4 de jun. de 2020,5 de jun. de 2020,4 de dez. de 2020,CONTRATAÇÃO DE OFICINA ESPECIALIZADA PARA A MANUTENÇÃO PREVENTIVA E CORRETIVA DA VIATURAS DO HGESM COM FORNECIMENTO DE PEÇAS E INSUMOS.,136,"R$ 48.348,40"
40/2020,2020NE802447,20768020000114,SMART RESGATES EMERGENCIAS E SOLUCOES MEDICAS LTDA,29 de mai. de 2020,29 de mai. de 2020,29 de nov. de 2020,"SERVIÇO DE CONTRATAÇÃO DE REMOÇÃO DE PACIENTES (ADULTOS, CRIANÇAS E NEONATAIS) POR VEÍCULO AMBULÂNCIA DE SUPORTE AVANÇADO UTI MÓVEL TIPO D (ATENDER AS AÇÕES DE COMBATE AO COVID19)",0,"R$ 254.700,00"
00040/2020,2020NE802447,20768020000114,SMART RESGATES EMERGENCIAS E SOLUCOES MEDICAS LTDA,29 de mai. de 2020,29 de mai. de 2020,29 de nov. de 2020,"SERVIÇO DE CONTRATAÇÃO DE REMOÇÃO DE PACIENTES (ADULTOS, CRIANÇAS E NEONATAIS) POR VEÍCULO AMBULÂNCIA DE SUPORTE AVANÇADO UTI MÓVEL TIPO D (ATENDER AS AÇÕES DE COMBATE AO COVID19)",0,"R$ 254.700,00"
2020-07-01,2020NE800097,3990266000117,MEDICA CENTER EMPREENDIMENTOS MEDICOS LTDA,25 de mai. de 2020,25 de mai. de 2020,25 de ago. de 2020,AQUISIÇÃO DE VIDEOLARINGOSCÓPIO,0,"R$ 40.820,00"
36/2020,2020NE800630,21876352000185,GIORDANI - CONSTRUCAO E COMERCIO EIRELI,25 de mai. de 2020,25 de mai. de 2020,24 de jun. de 2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA HOSPITALAR E ADMINISTRATIVA,2,"R$ 816.989,60"
00006/2020,2020NE800096,740696000192,PMH PRODUTOS MEDICOS HOSPITALARES LTDA,22 de mai. de 2020,22 de mai. de 2020,22 de nov. de 2020,AQUISIÇÃO DE TESTE DE GASOMETRIA ARTERIAL PARA MEDIR O PH E OS NÍVEIS DE OXIGÊNIO E GÁS CARBÔNICO NO SANGUE DE UMA ARTÉRIA.,0,"R$ 78.000,00"
2020-05-01,2020NE800906,34597955001595,WHITE MARTINS GASES INDUSTRIAIS DO NORTE LTDA.,22 de mai. de 2020,22 de mai. de 2020,22 de nov. de 2020,SERVIÇO DE SUBSTITUIÇÃO DA CENTRAL DE DISTRIBUIÇÃO DE GASES MEDICINAIS DO HOSPITAL DE GUARNIÇÃO DE PORTO VELHO.,0,"R$ 12.541,86"
2020-06-01,2020NE800096,740696000192,PMH PRODUTOS MEDICOS HOSPITALARES LTDA,22 de mai. de 2020,22 de mai. de 2020,22 de nov. de 2020,AQUISIÇÃO DE TESTE DE GASOMETRIA ARTERIAL PARA MEDIR O PH E OS NÍVEIS DE OXIGÊNIO E GÁS CARBÔNICO NO SANGUE DE UMA ARTÉRIA.,0,"R$ 78.000,00"
2020-06-01,2020NE800158,1475599000263,DCCO SOLUCOES EM ENERGIA E EQUIPAMENTOS LTDA,21 de mai. de 2020,21 de mai. de 2020,20 de jun. de 2020,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇO DE INSTALAÇÃO E FORNECIMENTO DE QUADRO DE TRANSFERÊNCIA AUTOMÁTICA (QTA) PARA GRUPO GERADOR DE 231KVA.,0,"R$ 30.536,23"
00005/2020,2020NE800262,59104760000191,TOYOTA DO BRASIL LTDA,20 de mai. de 2020,20 de mai. de 2020,3 de mar. de 2021,"AQUISIÇÃO DE VIATURA AMBULÂNCIA OPERACIONAL SIMPLES REMOÇÃO,4X4, 7,2 M³, OPERACIONAL.",4,"R$ 5.932.920,00"
39/2020,2020NE802220,6234656000155,BRASIL VIDA TAXI AEREO LTDA,20 de mai. de 2020,20 de mai. de 2020,20 de nov. de 2020,"SERVIÇO DE LOCAÇÃO DE UTI AEROMOVEL PARA EVACUAÇÃO DE PACIENTES VINCULADOS AO SERVIÇO DE SAÚDE DO EXÉRCITO, PARA O CMDO 10 RM (ATENDER AS AÇÕES DE COMBATE AO COVID19)",0,"R$ 744.000,00"
00039/2020,2020NE802220,6234656000155,BRASIL VIDA TAXI AEREO LTDA,20 de mai. de 2020,20 de mai. de 2020,20 de nov. de 2020,"SERVIÇO DE LOCAÇÃO DE UTI AEROMOVEL PARA EVACUAÇÃO DE PACIENTES VINCULADOS AO SERVIÇO DE SAÚDE DO EXÉRCITO, PARA O CMDO 10 RM (ATENDER AS AÇÕES DE COMBATE AO COVID19)",0,"R$ 744.000,00"
