Compra,Modalidade da Compra,Processo,Código da UASG,Nome da UASG,Município/UF,Objeto,Itens,Contratos,Valor Total da Compra
16/2020,Dispensa de Licitação,67289003228202003,120625,GRUPAMENTO DE APOIO DO DF,Brasília/DF,AQUISIÇÃO ÁLCOOL 70% PARA ATENDER À DEMANDA EMERGENCIAL E PREVENTIVA DE COMBATE AO COVID-19 DO HOSPITAL DE FORÇA AÉREA DE BRASÍLIA(HFAB).,2,0,163400
25/2020,Dispensa de Licitação,67215040732202040,120628,BASE AÉREA DE BELÉM,Belém/PA,"AQUISIÇÃO EVENTUAL DE MATERIAL MÉDICO-HOSPITALAR (MEDICAMENTOS), EM VIRTUDE DA PANDEMIA DE COVID-19, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS ESTABELECIDOS NA PROPOSTA, A QUAL INTEGRA ESTE INSTRUMENTO, INDEPENDENTE DE TRANSCRIÇÃO.",4,0,154829
8/2020,Dispensa de Licitação,67289002440202045,120625,GRUPAMENTO DE APOIO DO DF,Brasília/DF,"A AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL HOSPITALAR VISA À PROTEÇÃO DOS PROFISSIONAIS DO HOSPITAL DE FORÇA AÉREA DE BRASÍLIA (HFAB), RESPONSÁVEIS PELOS ATENDIMENTOS E ASSISTÊNCIA À SAÚDE NO ENFRETAMENTO À PANDEMIA MUNDIAL INSTAURADA POR MOTIVO DO COVID-19, CONFORME DECLARAÇÃO DA ORGANIZAÇÃO MUNDIAL DE SAÚDE (OMS). ",1,0,150000
42/2020,Dispensa de Licitação,67107004089202018,120645,GRUPAMENTO DE APOIO DO GALEÃO,Rio de Janeiro/RJ,CONTRATAÇÃO DE EMPRESA PARA ADEQUAÇÃO DO LABORATÓRIO PARA PRODUZIR TESTES DO COVID-19.,1,0,136804.98
36/2020,Dispensa de Licitação,67438005627202040,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MATERIAIS PARA UTI DO HOSPITAL DE FORÇA AÉREA DE SÃO PAULO,7,0,128150
44/2020,Dispensa de Licitação,67267002842202006,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE ÁLCOOL GEL ANTISSÉPTICO 70% PARA O GRUPAMENTO DE APOIO DE SÃO PAULO E UNIDADES APOIADAS.,10,0,123061.5
73/2020,Dispensa de Licitação,67267002842202006,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE ÁLCOOL GEL ANTISSÉPTICO 70% PARA O GRUPAMENTO DE APOIO DE SÃO PAULO E UNIDADES APOIADAS.,1,0,123061.5
20/2020,Dispensa de Licitação,67215040306202014,120628,BASE AÉREA DE BELÉM,Belém/PA,"AQUISIÇÃO EMERGENCIAL DE MATERIAL DE HIGIENIZAÇÃO PARA GUARNAE-BE, PREVENTIVA AO CONTÁGIO E PROLI  FERAÇÃO DO CORONAVÍRUS (COVID-19) ",3,0,114680
127/2020,Dispensa de Licitação,67106001448202095,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,AQUISIÇÃO DE PEÇAS PARA MANUTENÇÃO DOS VENTILADORES PULMONARES PERTENCENTES AO HFAG.,3,0,112935.45999999999
76/2020,Dispensa de Licitação,67106000948202018,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,"AQUISIÇÃO DE AVENTAL CIRÚRGICO, IMPERMEÁVEL, ESTÉRIL DE 60 G/M².",1,0,104000
26/2020,Dispensa de Licitação,67298004497202070,120630,BASE AÉREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE MATERIAL DE CONSUMO (TAPETE SANITIZANTE 0,90 X 1,31 E TOTEM PARA ÁLCOOL EM GEL PEDAL) DESTINADO AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS (COVID-19), CONFORME CONDIÇÕES, QUANTIDADES, EXIGÊNCIAS E ESTIMATIVAS ESTABELECIDAS.",2,0,101754
12/2020,Dispensa de Licitação,67215039690202002,120628,BASE AÉREA DE BELÉM,Belém/PA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE SERVIÇOS DE LIMPEZA E CONSERVAÇÃO, COM REGIME DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA E TODO O MATERIAL DE CONSUMO, INSUMOS E EQUIPAMENTOS NECESSÁRIOS À EXECUÇÃO DOS SERVIÇOS, PARA ATENDER O HOSPITAL DE AERONÁUTICA DE BELÉM – HABE",1,0,101588.87
122/2020,Dispensa de Licitação,67438011941202061,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE DISPOSITIVOS (EQUIPOS SIMPLES) PARA SUPORTE DE PACIENTES GRAVES DE COVID-19 INTERNADOS EM UNIDADE DE TERAPIA INTENSIVA,2,0,98580
12/2020,Dispensa de Licitação,67437005184202005,120632,BASE AEREA DE RECIFE,Recife/PE,AQUISIÇÃO DE MATERIAL MÉDICO-HOSPITALAR PARA ATENDER ÀS NECESSIDADES DO HARF PARA ENFRENTAMENTO DA COVID-19,2,0,95000
13/2020,Dispensa de Licitação,67436004282202027,120630,BASE AÉREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE EQUIPAMENTOS MÉDICO-HOSPITALARES PARA UTILIZAÇÃO EM PACIENTES INTERNADOS NA UNIDADE DE TERAPIA INTENSIVA DO HOSPITAL DE AERONÁUTICA DE MANAUS (HAMN) EM DECORRÊNCIA DO NOVO CORONAVÍRUS (COVID-19), CONFORME CONDIÇÕES, QUANTIDADES, EXIGÊNCIAS E ESTIMATIVAS ESTABELECIDAS.",3,0,93480
8/2020,Dispensa de Licitação,67437005184202005,120632,BASE AEREA DE RECIFE,Recife/PE,AQUISIÇÃO DE MATERIAL MÉDICO-HOSPITALAR PARA O ENFRENTAMENTO DA COVID-19.,1,0,90480
16/2020,Dispensa de Licitação,67437005184202005,120632,BASE AEREA DE RECIFE,Recife/PE,AQUISIÇÃO DE MATERIAL MÉDICO-HOSPITALAR PARA ATENDER ÀS NECESSIDADES DO HARF PARA O ENFRENTAMENTO DA COVID-19.,3,0,90400
49/2020,Dispensa de Licitação,67289004432202033,120625,GRUPAMENTO DE APOIO DO DF,Brasília/DF,"AQUISIÇÃO DE ENXOVAIS HOSPITALARES, TENDO EM VISTA A PROTEÇÃO DOS PROFISSIONAIS DE SAÚDE E DE APOIO QUE ATUAM NA ASSISTÊNCIA DIRETA AOS PACIENTES SUSPEITOS OU DIAGNOSTICADOS COM O NOVO CORONAVÍRUS (SARS-COV-2).",15,0,87498
29/2020,Dispensa de Licitação,67369039203202040,120630,BASE AÉREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE MATERIAL PARA COMBATE AO NOVO CORONAVÍRUS (2019-NCOV) PARA ATENDER ÀS NECESSIDADES DA ALA 8 E DE SUAS UNIDADES SUBORDINADAS, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO PROJETO BÁSICO E EM SEUS ANEXOS.",9,0,86040
32/2020,Dispensa de Licitação,67438005514202044,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MACACÃO IMPERMEÁVEL LAMINADO,1,0,78000
78/2020,Dispensa de Licitação,67263003591202017,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MATERIAIS DE DEFESA BIOLÓGICA PARA ENFRENTAMENTO AO COVID-19.,15,0,68065
71/2020,Dispensa de Licitação,67267004447202050,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MÁSCARAS DE PANO PARA PREVENÇÃO DO COVID-19.,1,0,64850.19
78/2020,Dispensa de Licitação,67106000948202018,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,"AQUISIÇÃO DE MÁSCARA CIRÚRGICA TRIPLA CAMADA COM ELÁSTICO E CLIP, PARA FINS DE ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS, CAUSADOR DA COVID-19. ",1,0,58200
15/2020,Dispensa de Licitação,67510.04054/20-17,120626,GRUPAMENTO DE APOIO DE PIRASSUNUNGA,Pirassununga/SP,AQUISIÇÃO DE MÁSCARA EM TECIDO PARA ATENDER AS NECESSIDADES DA ACADEMIA DA FORÇA AÉREA.,1,0,57000
104/2020,Dispensa de Licitação,67106001552202080,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,LOCAÇÃO DE CÂMARA MORTUÁRIA PARA O HCA.,1,0,53400
14/2020,Dispensa de Licitação,67289003092202023,120625,GRUPAMENTO DE APOIO DO DF,Brasília/DF,A AQUISIÇÃO DE CENTRAL DE MONITORAÇÃO HOSPITALAR PACIENTES DIAGNOSTICADOS COM O NOVO CORONAVÍRUS (SARS-COV-2) QUE SERÃO ASSISTIDOS PELO HOSPITAL DE FORÇA AÉREA DE BRASÍLIA (HFAB).,1,0,50832.56
998/2020,Dispensa de Licitação,67720002049202004,120016,GRUPAMENTO DE APOIO DE SÃO JOSÉ DOS CAMPOS,São José dos Campos/SP,TESTE,1,0,50000
151/2020,Dispensa de Licitação,67720005506202011,120016,GRUPAMENTO DE APOIO DE SÃO JOSÉ DOS CAMPOS,São José dos Campos/SP,ES - SJ - EPIS COVID PROJETO BASICO,3,0,50000
142/2020,Dispensa de Licitação,67410016089202027,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,CONTRATAÇÃO DE SERVIÇO DE TECNOLOGIA DA INFORMAÇÃO PARA PROCESSAMENTO AUTOMATIZADO DOS DADOS BIOMÉTRICOS E CADASTRAIS DE VETERANOS E PENSIONISTAS DA AERONÁUTICA PARA REALIZAÇÃO DE PROVA DE VIDA (LIVENESS),1,0,49998.28
141/2020,Dispensa de Licitação,67106002215202018,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,"AQUISIÇÃO DE PENTAGLOBULINA (100ML) PARA O HOSPITAL DE FORÇA AÉREA DO GALEÃO (HFAG), EM ATENDIMENTO  ÀS NECESSIDADES DO COVID-19.",1,0,49998
12/2020,Dispensa de Licitação,67298002446202011,120630,BASE AÉREA DE MANAUS,Manaus/AM,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE LIMPEZA, CONSERVAÇÃO, HIGIENIZAÇÃO E DESINFECÇÃO, COM DISPONIBILIZAÇÃO DE MÃO DE OBRA QUALIFICADA E FORNECIMENTO DE MATERIAIS E EQUIPAMENTOS, NAS ÁREAS DESTINADAS AO APOIO À ESTRUTURA AEROMÉDICA INSTALADA NA ALA 8, DESTINADA AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS (COVID-19).",1,1,49400
29/2020,Dispensa de Licitação,67440004634202085,120624,BASE AÉREA DE ANÁPOLIS,Anápolis/GO,"AQUISIÇÃO DE MATERIAIS DE CONSUMO E EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL (EPIS) PARA O ESQUADRÃO DE SAÚDE DE ANÁPOLIS DO GRUPAMENTO DE APOIO DE ANÁPOLIS, EM CARÁTER EMERGENCIAL, COM INTUITO DE ASSEGURAR A CONTINUIDADE AOS ATENDIMENTOS NO COMBATE AO CORONAVÍRUS.",11,0,48836.4
85/2020,Dispensa de Licitação,67438005956202091,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MATERIAIS DESCARTÁVEIS PARA USO DAS SEÇÕES DE NUTRIÇÃO E DIETÉTICA E SUBSISTÊNCIA DO HFASP (COVID-19),13,0,48689.060000000005
42/2020,Dispensa de Licitação,67438005956202091,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MATERIAIS DESCARTÁVEIS PARA USO DAS SEÇÕES DE NUTRIÇÃO E DIETÉTICA E SUBSISTÊNCIA DO HFASP.,13,0,48689.060000000005
117/2020,Dispensa de Licitação,67106001662202041,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,"AQUISIÇÃO DO MEDICAMENTO MIDAZOLAM 5MG/ML, PARA O HOSPITAL DE FORÇA AÉREA DO GALEÃO, PARA FINS DE ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS, CAUSADOR DA COVID-19.",1,0,47824
31/2020,Dispensa de Licitação,67438005510202066,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE DISPOSITIVOS PARA SUPORTE RESPIRATÓRIO DE PACIENTES GRAVES,4,0,47760.2
125/2020,Dispensa de Licitação,67106001827202085,120195,CENTRO DE AQUISIÇÕES ESPECIFICAS,Rio de Janeiro/RJ,AQUISIÇÃO DE FILTROS PARA O HOSPITAL DE FORÇA AÉREA DO GALEÃO,2,0,46632
13/2020,Dispensa de Licitação,67712014321202098,120627,GRUPAMENTO DE APOIO DE ALCÂNTARA,Alcântara/MA,PRESTAÇÃO DE SERVIÇO DE MATERNIDADE E OBSTETRÍCIA CONTRATAÇÃO VIA DISPENSA (COVID-19) PARA ATENDIMENTO DAS NECESSIDADES DAS USUÁRIAS DO FUNDO DE SAÚDE DA AERONÁUTICA (FUNSA).,1,1,45800
11/2020,Dispensa de Licitação,67437005184202005,120632,BASE AEREA DE RECIFE,Recife/PE,AQUISIÇÃO DE MATERIAL MÉDICO-HOSPITALAR PARA ATENDER ÀS NECESSIDADES DO HARF PARA ENFRENTAMENTO DA COVID-19,2,0,45000
19/2020,Dispensa de Licitação,67246025643202014,120039,MAER-GRUPAMENTO DE APOIO/RJ,Rio de Janeiro/RJ,"CONTRATAÇÃO DE SERVIÇO, POR DISPENSA DE LICITAÇÃO,DE EMPRESA ESPECIALIZADA EM CONFECÇÃO E INSTALAÇÃO DE DIVISÓRIAS E PORTAS PARA ESTRUTURAÇÃO DAS INSTALAÇÕES DOS ANDARES DE INTERNAÇÃO E CTI DO HCA NO ENFRENTAMENTO EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS NO HOSPITAL CENTRAL DA AERONÁUTICA.",1,0,45000
15/2020,Dispensa de Licitação,67246025643202014,120039,MAER-GRUPAMENTO DE APOIO/RJ,Rio de Janeiro/RJ,"CONTRATAÇÃO DE  SERVIÇO  DE  EMPRESA  ESPECIALIZADA  EM  CONFECÇÃO E  INSTALAÇÃO  DE  DIVISÓRIAS E PORTAS PARA ESTRUTURAÇÃO DAS INSTALAÇÕES DO SEGUNDO, TERCEIRO E  QUINTO ANDAR DA  UNIDADE  DE INTERNAÇÃO E CTI DO HCA NO ENFRENTAMENTO EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS NO HOSPITAL CENTRAL DA AERONÁUTICA.",1,0,45000
10/2020,Dispensa de Licitação,67298002369202091,120630,BASE AÉREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE MATERIAL DE CONSUMO (MÁSCARAS LAVÁVEIS BRANCAS DE USO GERAL) DESTINADO AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO NOVO CORONAVÍRUS (COVID-19), CONFORME CONDIÇÕES, QUANTIDADES, EXIGÊNCIAS E ESTIMATIVAS ESTABELECIDAS.",1,0,43450
93/2020,Dispensa de Licitação,67438009040202018,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MEDICAMENTOS (COVID-19),2,0,41088
86/2020,Dispensa de Licitação,67438005947202008,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE ACESSÓRIOS PARA TERAPIA RESPIRATÓRIA (COVID-19).,9,0,41044
43/2020,Dispensa de Licitação,67438005947202008,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE ACESSÓRIOS PARA TERAPIA RESPIRATÓRIA.,9,0,41044
23/2020,Dispensa de Licitação,67215040635202057,120628,BASE AÉREA DE BELÉM,Belém/PA,"DISPENSA PARA AQUISICÃO DE  MATERIAL DE CONSUMO MÉDICO (TIPO  MEDICAMENTOS)PARA O ENFRETAMENTO DO COVID 19, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS ESTABELECIDOS NA PROPOSTA, A QUAL INTEGRA ESTE INSTRUMENTO, INDEPENDENTE DE TRANSCRIÇÃO. ",1,0,38000
22/2020,Dispensa de Licitação,67289003837202054,120625,GRUPAMENTO DE APOIO DO DF,Brasília/DF,A AQUISIÇÃO DE VÍDEO LARINGOSCÓPIO TEM COM OBJETIVO O ATENDIMENTO AOS PACIENTES  DIAGNOSTICADOS COM O NOVO CORONAVÍRUS (SARS-COV-2) QUE SERÃO ASSISTIDOS PELO HOSPITAL DE  FORÇA AÉREA DE BRASÍLIA (HFAB),1,0,36000
88/2020,Dispensa de Licitação,67267004686202018,120633,GRUPAMENTO DE APOIO DE SÃO PAULO,São Paulo/SP,"AQUISIÇÃO DE TERMÔMETRO CLÍNICO DIGITAL INFRAVERMELHO, CONFORME ESPECIFICAÇÕES DO TERMO DE REFERÊNCIA, VISANDO A DISPONIBILIZAÇÃO DE MATERIAL AO COMBATE DO COVID-19, COM ENTREGA NO PRAZO MÁXIMO DE 3 DIAS ÚTEIS.",1,0,35000
36/2020,Dispensa de Licitação,67215041787202077,120628,BASE AÉREA DE BELÉM,Belém/PA,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SERVIÇO DE REVITALIZAÇÃO DE SISTEMA DE VÁCUO DA UNIDADE MATERNO INFANTIL – UMI, UNIDADE DE CENTRO CIRÚRGICO - UCC E UNIDADE DE TERAPIA INTENSIVA – UTI DO HOSPITAL DE AERONÁUTICA DE BELÉM - HABE, COM FORNECIMENTO DE MATERIAL NECESSÁRIO PARA PLENO FUNCIONAMENTO E ATENDIMENTO DA RDC 50 E ABNT/NBR 12.188 DE 2016, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NESTE INSTRUMENTO.",1,0,34690
