Compra,Modalidade da Compra,Processo,Código da UASG,Nome da UASG,Município/UF,Objeto,Itens,Contratos,Valor Total da Compra
4/2020,Dispensa de Licitação,64446005624202019,160069,COMANDO LOGISTICO,Brasília/DF,MATERIAIS DE CONSUMO MÉDICO HOSPITALARES E DE PROTEÇÃO INDIVIDUAL.,10,0,1899195.6
17/2020,Dispensa de Licitação,64576004354202043,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,"AQUISIÇÃO DE TESTES DIAGNÓSTICOS PARA O CORONAVÍRUS, TIPO TESTE RÁPIDO, PARA O PRONTO EMPREGO NO LABORATÓRIO DE ANALISES CLÍNICAS DO HOSPITAL MILITAR DE ÁREA DE BRASILIA - HMAB.  ",2,0,1505000
19/2020,Dispensa de Licitação,64305010696202092,160047,COMANDO 10 REGIAO MILITAR/MEX - CE,Fortaleza/CE,"SERVIÇO DE LOCAÇÃO DE UTI AEROMOVEL PARA EVACUAÇÃO DE PACIENTES VINCULADOS AO SERVIÇO DE SAÚDE DO EXÉRCITO, PARA O CMDO 10 RM (ATENDER AS AÇÕES DE COMBATE AO COVID19)",2,1,1488000
66/2020,Dispensa de Licitação,64584009451202023,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MONITORES MULTIPARAMÉTRICOS PARA 30 LEITOS DE TERAPIA INTENSIVA.,2,0,1366962.3
8/2020,Dispensa de Licitação,64447006376202013,160069,COMANDO LOGISTICO,Brasília/DF,"AQUISIÇÃO DE MATERIAIS DE CONSUMO MÉDICO-HOSPITALARES E DE PROTEÇÃO INDIVIDUAL, PARA O COMBATE À PANDEMIA DE COVID-19.",8,0,1272300
17/2020,Dispensa de Licitação,64307004548202019,160482,1A. BRIGADA DE INFANTARIA DE SELVA/RR,Boa Vista/RR,SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO,10,1,1198559.28
10/2020,Dispensa de Licitação,64447006584202012,160069,COMANDO LOGISTICO,Brasília/DF,AQUISIÇÃO DE MATERIAIS DE CONSUMO MÉDICO-HOSPITALARES E DE PROTEÇÃO INDIVIDUAL PARA O COMBATE À PANDEMIA DE COVID-19 NO ÂMBITO DO EXÉRCITO BRASILEIRO.,4,0,1033561.8200000001
18/2020,Dispensa de Licitação,6458102311822057,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,AQUISIÇÃO DE MATERIAL E EQUIPAMENTOS MÉDICO HOSPITALARES PARA ENFRENTAMENTO AO COVID-19.,11,0,990617
40/2020,Dispensa de Licitação,64307004818202091,160482,1A. BRIGADA DE INFANTARIA DE SELVA/RR,Boa Vista/RR,"CONTRATAÇÃO DE SERVIÇO DE APOIO ADMINISTRATIVO, COM FORNECIMENTO DE EQUIPE TÉCNICA ADMINISTRATIVA, PARA ATENDER AS NECESSIDADES DA ÁREA DE PROTEÇÃO E CUIDADOS.",3,1,990000
8/2020,Dispensa de Licitação,64578005526202086,160223,HOSPITAL GERAL DE CURITIBA,Curitiba/PR,AQUISIÇÃO DE MATERIAL DE CONSUMO PARA COMBATE COVID19.,6,0,955220.8
10/2020,Dispensa de Licitação,5526202086,160223,HOSPITAL GERAL DE CURITIBA,Curitiba/PR,MATERIAIS DE CONSUMO PARA AS PARA NECESSIDADE DE COMBATE AO CORONA VÍRUS (COVID-19-II).,6,0,936410.8
114/2020,Dispensa de Licitação,64584013413202075,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MEDICAMENTOS PARA COVID-19 PARA CAF (IX).,8,0,887153
43/2020,Dispensa de Licitação,60215002131202030,160482,1A. BRIGADA DE INFANTARIA DE SELVA/RR,Boa Vista/RR,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA HOSPITALAR E ADMINISTRATIVA,2,1,816989.6
37/2020,Dispensa de Licitação,64044004076202032,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,AQUISIÇÃO EMERGENCIAL DE ESTAÇÃO DE TRATAMENTO DE ESGOTO VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRU~ÇÃO NO COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORANAVÍRUS RESPONSÁVEL PELO SURTO DE 2020. PROCESSO ADMINISTRATIVO 64044.004076/2020-32-6ºBEC.,1,1,775560
14/2020,Dispensa de Licitação,64444003214202053,160067,DEPARTAMENTO DE ENGENHARIA E CONSTRUÇÃO,Brasília/DF,"LOCAÇÃO DE ""MÓDULO DE SERVIÇO"" COMPREENDENDO INFRAESTUTURA HOSPITALAR PROVISÓRIA NO FORMATO DE TENDA CLIMATIZADA, COM COBERTURA, FECHADA NAS LATERAIS, DIVISÓRIAS INTERNAS, BANHEIROS, MOBILIÁRIO E EQUIPAMENTOS BÁSICOS, CONFORME PROJETO BÁSICO SIMPLIFICADO.",1,0,732600
46/2020,Dispensa de Licitação,64614001810202008,160328,LABORATORIO QUIMICO FARMACEUTICO DO EXERCITO,Rio de Janeiro/RJ,"AQUISIÇÃO DE INSUMO FARMACÊUTICO ATIVO - IFA PARA PRODUÇÃO DE CLOROQUINA 150MG EM ATENDIMENTO ÀS DEMANDAS DAS DIVERSAS UNIDADES DE SAÚDE DO EXÉRCITO BRASILEIRO, MINISTÉRIO DA DEFESA E MINISTÉRIO DA SAÚDE NO COMBATE AO COVID-19.",1,0,652000
57/2020,Dispensa de Licitação,64614002114202019,160328,LABORATORIO QUIMICO FARMACEUTICO DO EXERCITO,Rio de Janeiro/RJ,AQUISIÇÃO DO INSUMO CLOROQUINA,1,0,652000
9/2020,Dispensa de Licitação,64447006458202068,160069,COMANDO LOGISTICO,Brasília/DF,"AQUISIÇÃO DE MATERIAIS DE CONSUMO MÉDICO-HOSPITALARES E DE PROTEÇÃO INDIVIDUAL, PARA O COMBATE À PANDEMIA DE COVID-19 NO ÂMBITO DO EXÉRCITO.",4,0,588777.97
84/2020,Dispensa de Licitação,64582008043202074,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,AQUISIÇÃO DE MATERIAL DE CONSUMO MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:396/2020 DE 19 DE MAIO DE 2020 DA CENTARAL DE ABASTECIMENTO FARMACÊUTICO DO HMAPA.,1,0,540000
32/2020,Dispensa de Licitação,64581.024031/2020,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE MATERIAIS E EQUIPAMENTOS MÉDICOS,HOSPITALARES E UNIFORMES.",9,0,521700
18/2020,Dispensa de Licitação,64305010697202037,160047,COMANDO 10 REGIAO MILITAR/MEX - CE,Fortaleza/CE,"SERVIÇO DE CONTRATAÇÃO DE REMOÇÃO DE PACIENTES (ADULTOS, CRIANÇAS E NEONATAIS) POR VEÍCULO AMBULÂNCIA DE SUPORTE AVANÇADO UTI MÓVEL TIPO D (ATENDER AS AÇÕES DE COMBATE AO COVID19)",1,1,509400
21/2020,Dispensa de Licitação,64577004808202076,160143,HOSPITAL MILITAR DE ÁREA DE CAMPO GRANDE,Campo Grande/MS,"AQUISIÇÃO DE MATERIAIS HOSPITALARES EM CARÁTER DE EMERGÊNCIA, DEVIDO A PANDEMIA DO COVID 19 (REQ 30-FARM)",6,0,490700
14/2020,Dispensa de Licitação,64455001605202012,160049,10. DEPOSITO DE SUPRIMENTO/MEX - CE,Fortaleza/CE,AQUISIÇÃO DE MATERIAL HOSPITALAR(MÁSCARAS).,2,0,487200
122/2020,Dispensa de Licitação,64584013503202066,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MEDICAMENTOS PARA COVID-19 PARA CAF (XII).,8,0,479204.3
121/2020,Dispensa de Licitação,64584013503202066,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MEDICAMENTOS PARA COVID-19 PARA CAF (XII).,6,0,469694.3
13/2020,Dispensa de Licitação,64307003601202064,160482,1A. BRIGADA DE INFANTARIA DE SELVA/RR,Boa Vista/RR,AQUISIÇÃO DE TESTE RÁPIDO PARA DETECÇÃO DO COVID-19.,1,1,460000
13/2020,Dispensa de Licitação,64594016631202042,160416,HOSPITAL GERAL DE SANTA MARIA,Santa Maria/RS,AQUISIÇÃO DE EQUIPAMENTO MÉDICO HOSPITALAR TENDO EM VISTA A PANDEMIA REFERENTE AO CORONAVÍRUS (COVID-19),2,0,441000
102/2020,Dispensa de Licitação,64582008994202043,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL PERMANENTE HOSPITALAR - CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO N° 22-CTI, DE 04 DE JUNHO DE 2020",1,0,397633.62
26/2020,Dispensa de Licitação,64581023386202079,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE MATERIAL HOSPITALAR, DESTINADOS AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORONAVÍRUS COVID19.",19,0,397082.7
121/2020,Dispensa de Licitação,64577021315202009,160143,HOSPITAL MILITAR DE ÁREA DE CAMPO GRANDE,Campo Grande/MS,AQUISIÇÃO DOS BENS (MATERIAIS HOSPITALARES - LUVAS) SE FAZ NECESSÁRIA EM RAZÃO DE ASSISTIR À NECESSIDADE DO USUÁRIO/PACIENTE SUBMETIDO A TRATAMENTO MÉDICO-HOSPITALAR.,3,0,375000
5/2020,Dispensa de Licitação,43,160014,COMANDO 12 REGIAO MILITAR/MEX/AM,Manaus/AM,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL HOSPITALAR  ",5,0,351000
38/2020,Dispensa de Licitação,64581024252202075,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE MEDICAMENTOS PARA O HOSPITAL MILITAR DE ÁREA DE MANAUS, NAS AÇÕES DE ENFRENTAMENTO DA EMERGÊNCIA EM SAÚDE PÚBLICA DE IMPORTÂNCIA NACIONAL (ESPIN), EM DECORRÊNCIA DA INFECÇÃO HUMANA PELO NOVO CORONAVÍRUS (2019-NCOV).",13,0,338183.9
43/2020,Dispensa de Licitação,64582006167202015,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:18/2020  DE 14 DE ABRIL DE 2020 DO SETOR DE CENTRO DE TRATAMENTO INTENSIVO DO HMAPA.  ",1,0,331361.35
158/2020,Dispensa de Licitação,64584012167202034,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MACACÕES TYVEK G E GG.,2,0,327420
34/2020,Dispensa de Licitação,64044004698202033,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,"CONTRATAÇÃO EMERGENCIAL DE SERVIÇO DE CAPTAÇÃO E DRENAGEM DE ÁGUAS PLUVIAIS, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO NO COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORANAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.",12,1,323793.56000000006
28/2020,Dispensa de Licitação,64044003867202045,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,AQUISIÇÃO DE:  - NO-BREAK SENOIDAL 10000VA BIV.120/220V COM BANCO DE BATERIAS AUXILIAR E AUTONOMIA DE 30MIN;  - NO-BREAK SENOIDAL 3000VA BIV.120/220V COM BANCO DE BATERIAS AUXILIAR E AUTONOMIA DE 30MIN;,2,1,316200
42/2020,Dispensa de Licitação,64658002769202072,160400,POLICLINICA MILITAR DE PORTO ALEGRE/RS,Porto Alegre/RS,AQUISIÇÃO DE INSUMOS DE LABORATÓRIO PARA ENFRENTAMENTO DA PANDEMIA COVID-19 (TESTES RÁPIDO - IMUNOCROMATOFRÁFICO).,1,0,308000
20/2020,Dispensa de Licitação,64582004903202009,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL DE CONSUMO HOSPITALAR - CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO Nº 1455-CAF, DE 20 DE MARÇO DE 2020, (COVID19). ",2,0,303510
55/2020,Dispensa de Licitação,64582006707202061,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:05/2020  DE 2220 DE ABRIL DE 2020 DO CENTRO CIRÚRGICO DO HMAPA.,1,0,302048
58/2020,Dispensa de Licitação,64582006707202061,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,AQUISIÇÃO DE MATERIAL MEDICO HOSPITALAR PERMANENTE CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:05/2020 DE 22 DE ABRIL DE 2020 DO CENTRO CIRÚRGICO DO HMAPA.,1,0,302048
69/2020,Dispensa de Licitação,64584010442202085,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE AVENTAIS IMPERMEÁVEIS.,1,0,295500
26/2020,Dispensa de Licitação,64576004756202048,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,"AQUISIÇÃO DE MEDICAMENTOS PARA ATENDER REABASTECER A FARMÁCIA HOSPITALAR DO HMAB, NECESSÁRIOS AO ENFRENTAMENTO À COVID-19.",33,0,293561.5
41/2020,Dispensa de Licitação,64581024666202002,160020,HOSPITAL MILITAR DE ÁREA DE MANAUS,Manaus/AM,"AQUISIÇÃO DE MATERIAIS E EQUIPAMENTOS MÉDICOS, HOSPITALARES PARA ATENDER AS AÇÕES DE ENFRENTAMENTO AO COVID - 19.",3,0,287150
51/2020,Dispensa de Licitação,64582006191202054,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL HOSPITALAR PERMANENTE CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO DE N:05/2020  DE 14 DE ABRIL DE 2020 DA CENTRAL DE MATERIAIS DE ESTERILIZAÇÃO DO HMAPA.  ",1,0,286431
13/2020,Dispensa de Licitação,64044003277202012,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,"DISPENSA DE LICITAÇÃO PARA AQUISIÇÃO EMERGENCIAL PARA O COMBATE A COVID 19, DE MATÉRIAS DE CONSTRUÇÃO, MATÉRIAS ELÉTRICOS E FERRAMENTAS PARA APLICAÇÃO NA CONSTRUÇÃO CIVIL.",48,1,278847.52000000025
49/2020,Dispensa de Licitação,64576006270202044,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,"AQUISIÇÃO DE MEDICAMENTOS PARA REABASTECIMENTO DE FARMÁCIA HOSPITALAR DO HOSPITAL MILITAR DE ÁREA DE BRASÍLIA - HMAB, CONSIDERANDO A REABERTURA DA UNIDADE DE PRONTO ATENDIMENTO MÉDICO E CENTRO DE TERAPIA INTENSIVA.",18,0,273778.19
11/2020,Dispensa de Licitação,64583007614202043,160199,HOSPITAL MILITAR DE ÁREA DE RECIFE,Recife/PE,"AQUISIÇÃO DE SONDA DE ASPIRAÇÃO TRAQUEAL, CALIBRE 12FR SISTEMA FECHADO E CALIBRE 14FR SISTEMA FECHADO.",2,0,270000
50/2020,Dispensa de Licitação,64576006344202042,160088,HOSPITAL MILITAR DE ÁREA DE BRASÍLIA,Brasília/DF,AQUISIÇÃO DE MATERIAIS DE CONSUMO PARA ATENDIMENTO AOS PACIENTES DE COVID-19 DO HOSPITAL MILITAR DE ÁREA DE BRASÍLIA (HMAB).,52,0,265819.5
52/2020,Dispensa de Licitação,64292022036202041,160392,CMDO DA 3 REGIAO MILITAR/RS,Porto Alegre/RS,"PREST SERV DE LIMP E CONS, FORN DE MAT, REGIME DE TRAB 40HS SEMANAIS, SEG A SEXTA, NA FORMA DE EXEC INDIRETA, NO REGIME DE EMPREITADA P/ATENDER AS NEC DO QG CMDO MIL SUL (QG/CMS) E ANEXOS: QG AUXILIAR-1 E QG AUXILIAR-2 (SEÇÃO DE INATIVOS E PENSIONISTAS SSIP/3), SEÇÃO DE FISC PROD CONTROLADOS (SFPC), E O REFEITORIO DA B ADM AP/3ªRM. A SEDE DO QG/CMS SITO RUA DOS ANDRADAS, 562, POA/RS CFE CONDIÇÕES, QUANT E EXIG ESTABELECIDAS NESTE INSTRUMENTO. ",1,1,265200
101/2020,Dispensa de Licitação,64582008993202007,160399,HOSPITAL MILITAR DE ÁREA DE PORTO ALEGRE,Porto Alegre/RS,"AQUISIÇÃO DE MATERIAL PERMANENTE HOSPITALAR - CONFORME SOLICITAÇÃO CONTIDA NA REQUISIÇÃO Nº 21-CTI, DE 04 DE JUNHO DE 2020. ",1,0,265089.08
100/2020,Dispensa de Licitação,64584012291202008,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MEDICAMENTOS PARA COVID-19 PARA CAF (VI).,8,0,264750
25/2020,Dispensa de Licitação,65297006336202003,160136,9º GRUPAMENTO LOGISTICO,Campo Grande/MS,"AQUISIÇÃO DE MATERIAL PERMANENTE, APARELHO DE AR CONDICIONADO SELF-CONTAINED, QUE SERÃO EMPREGADAS EM BARRACAS DE POSTO DE ATENDIMENTO AVANÇADO DO NÚCLEO DO 9º BATALHÃO DE SAÚDE, TUDO VISANDO AO ENFRENTAMENTO DO COVID-19",1,1,251700
34/2020,Dispensa de Licitação,64584008211202010,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MATERIAIS RESPIRATÓRIOS.,4,0,250758
1/2020,Dispensa de Licitação,26,160014,COMANDO 12 REGIAO MILITAR/MEX/AM,Manaus/AM,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM AQUISIÇÃO DE EQUIPAMENTO DE PROTEÇÃO INDIVIDUAL HOSPITALAR,7,1,250000
6/2020,Dispensa de Licitação,64242002019202082,160045,BASE ADM. GUARNIÇÃO DE FORTALEZA,Fortaleza/CE,"AQUISIÇÃO DE MONITORES MULTIPARÂMETROS PARA O HGEF (ATENDER AS AÇÕES DE COMBATE AO COVID19-MONITOR MULTIPARAMÉTRICO DE PACIENTES PARA USO EM ADULTOS OU PEDIÁTRICOS. DEVERÁ SER CAPAZ DE REALIZAR AS MEDIÇÕES DE ECG, RESPIRAÇÃO, OXIMETRIA DE PULSO, PRESSÃO NÃO INVASIVA E 2 CANAIS DE TEMPERATURA, 2 CANAIS DE PI E CAPNOGRAFIA. DEVERÁ POSSUIR IMPRESSORA TÉRMICA INTERNA E ANÁLISE DE ARRITMIA. DEVE APRESENTAR REGISTRO VÁLIDO NA ANVISA.-MARCA:PROLIFE;FABRICANTE:PROLIFE;MODELO:C150",1,1,247056.2
128/2020,Dispensa de Licitação,64584011202202006,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MÁSCARAS N95.,1,0,246750
31/2020,Dispensa de Licitação,64044004965202008,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO/RR,Boa Vista/RR,"CONTRATAÇÃO EMERGENCIAL DE SERVIÇO DE LOCAÇÃO DE REDE LÓGICA, VISANDO ATENDER AS NECESSIDADES DO 6º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO NO COMBATE AO ENFRENTAMENTO DA EMERGÊNCIA DE SAÚDE PÚBLICA DE IMPORTÂNCIA INTERNACIONAL DECORRENTE DO CORANAVÍRUS RESPONSÁVEL PELO SURTO DE 2020.",30,1,246074.35999999993
15/2020,Dispensa de Licitação,64307003577202063,160482,1A. BRIGADA DE INFANTARIA DE SELVA/RR,Boa Vista/RR,SERVIÇO DE VIGILÂNCIA/SEGURANÇA PATRIMONIAL DESARMADA,2,1,244384.96
90/2020,Dispensa de Licitação,64584010240202033,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MACACÕES TYVEK COM ZÍPER.,1,0,243750
20/2020,Dispensa de Licitação,64456.014152/2020,160072,11. DEPOSITO DE SUPRIMENTOS-MEX/DF,Brasília/DF,"ATENDER DESPESA COM SERVIÇOS PARA AÇÕES DE COMBATE AO COVID-19.  ",80,0,243453.77000000002
21/2020,Dispensa de Licitação,64456.014175/2020,160072,11. DEPOSITO DE SUPRIMENTOS-MEX/DF,Brasília/DF,"ATENDER DESPESA COM SERVIÇOS PARA AÇÕES DE COMBATE AO COVID-19.  ",7,0,243453.77
89/2020,Dispensa de Licitação,64584010141202051,160495,HOSPITAL MILITAR DE ÁREA DE SÃO PAULO,São Paulo/SP,AQUISIÇÃO DE MÁSCARAS PFF2.,1,0,239000
84/2020,Dispensa de Licitação,64575000121602053,160166,HOSPITAL GERAL DE BELEM,Belém/PA,SERVIÇO DE MANUTENÇÃO E AMPLIAÇÃO DO SISTEMA ELETRÔNICO CENTRAL DE CHAMADAS DE PACIENTES DO HGEBELÉM.,2,0,231980
